OR4F5	NM_001005484
SPRR1B	NM_003125
SPRR2D	NM_006945
SPRR2A	NM_005988
SPRR2B	NM_001017418
SPRR2E	NM_001024209
SPRR2F	NM_001014450
SPRR2G	NM_001014291
LELP1	NM_001010857
PRR9	NM_001195571
LOR	NM_000427
PGLYRP3	NM_052891
PGLYRP4	NM_020393
S100A9	NM_002965
S100A12	NM_005621
S100A8	NM_002964
S100A7A	NM_176823
S100A7L2	NM_001045479
S100A7	NM_002963
S100A6	NM_014624
S100A5	NM_002962
S100A4	NM_002961
S100A3	NM_002960
S100A2	NM_005978
S100A16	NM_080388
S100A14	NM_020672
S100A13	NM_001024211
S100A1	NM_006271
CHTOP	NM_001206612
SNAPIN	NM_012437
ILF2	NM_004515
NPR1	NM_000906
INTS3	NM_023015
SLC27A3	NM_024330
GATAD2B	NM_020699
DENND4B	NM_014856
CRTC2	NM_181715
SLC39A1	NM_014437
CREB3L4	NM_130898
JTB	NM_006694
RAB13	NM_002870
RPS27	NM_001030
NUP210L	NM_207308
TPM3	NM_152263
C1orf189	NM_001010979
C1orf43	NM_001098616
UBAP2L	NM_014847
HAX1	NM_006118
AQP10	NM_080429
ATP8B2	NM_020452
IL6R	NM_000565
SHE	NM_001010846
TDRD10	NM_001098475
UBE2Q1	NM_017582
CHRNB2	NM_000748
ADAR	NM_001111
KCNN3	NM_002249
PMVK	NM_006556
PBXIP1	NM_020524
PYGO2	NM_138300
SHC1	NM_001130040
CKS1B	NM_001826
FLAD1	NM_025207
LENEP	NM_018655
ZBTB7B	NM_001252406
DCST2	NM_144622
DCST1	NM_152494
ADAM15	NM_207197
EFNA3	NM_004952
EFNA1	NM_004428
SLC50A1	NM_018845
DPM3	NM_018973
KRTCAP2	NM_173852
TRIM46	NM_025058
MUC1	NM_001204287
THBS3	NM_007112
MTX1	NM_002455
GBA	NM_001005742
FAM189B	NM_006589
SCAMP3	NM_005698
CLK2	NM_003993
HCN3	NM_020897
PKLR	NM_000298
FDPS	NM_002004
RUSC1-AS1	NM_001039517
RUSC1	NM_001105203
ASH1L	NM_018489
MSTO1	NM_018116
DAP3	NM_004632
GON4L	NM_001037533
SYT11	NM_152280
RIT1	NM_006912
KIAA0907	NM_014949
RXFP4	NM_181885
ARHGEF2	NM_001162383
SSR2	NM_003145
UBQLN4	NM_020131
LAMTOR2	NM_014017
RAB25	NM_020387
MEX3A	NM_001093725
LMNA	NM_170707
SEMA4A	NM_001193300
SLC25A44	NM_014655
PMF1-BGLAP	NM_001199662
BGLAP	NM_199173
PAQR6	NM_198406
SMG5	NM_015327
TMEM79	NM_032323
C1orf85	NM_144580
VHLL	NM_001004319
CCT3	NM_005998
RHBG	NM_020407
C1orf61	NM_006365
MEF2D	NM_005920
IQGAP3	NM_178229
TTC24	NM_001105669
APOA1BP	NM_144772
GPATCH4	NM_182679
HAPLN2	NM_021817
BCAN	NM_021948
NES	NM_006617
CRABP2	NM_001878
ISG20L2	NM_030980
RRNAD1	NM_015997
MRPL24	NM_145729
HDGF	NM_004494
PRCC	NM_005973
SH2D2A	NM_003975
INSRR	NM_014215
NTRK1	NM_002529
PEAR1	NM_001080471
LRRC71	NM_144702
ARHGEF11	NM_198236
ETV3L	NM_001004341
ETV3	NM_001145312
FCRL5	NM_001195388
FCRL4	NM_031282
FCRL3	NM_052939
FCRL2	NM_030764
FCRL1	NM_052938
CD5L	NM_005894
KIRREL	NM_018240
CD1D	NM_001766
CD1A	NM_001763
CD1C	NM_001765
CD1B	NM_001764
CD1E	NM_030893
OR10T2	NM_001004475
OR10K2	NM_001004476
OR10K1	NM_001004473
OR10R2	NM_001004472
OR6Y1	NM_001005189
OR6P1	NM_001160325
OR10X1	NM_001004477
OR10Z1	NM_001004478
SPTA1	NM_003126
OR6K2	NM_001005279
OR6K3	NM_001005327
OR6K6	NM_001005184
OR6N1	NM_001005185
OR6N2	NM_001005278
MNDA	NM_002432
PYHIN1	NM_152501
IFI16	NM_005531
AIM2	NM_004833
CADM3	NM_021189
DARC	NM_001122951
FCER1A	NM_002001
OR10J3	NM_001004467
OR10J1	NM_012351
OR10J5	NM_001004469
APCS	NM_001639
CRP	NM_000567
DUSP23	NM_017823
FCRL6	NM_001004310
SLAMF8	NM_020125
VSIG8	NM_001013661
CCDC19	NM_012337
TAGLN2	NM_003564
IGSF9	NM_001135050
SLAMF9	NM_033438
PIGM	NM_145167
KCNJ10	NM_002241
KCNJ9	NM_004983
IGSF8	NM_001206665
ATP1A2	NM_000702
ATP1A4	NM_144699
CASQ1	NM_001231
PEA15	NM_003768
DCAF8	NM_015726
COPA	NM_001098398
NCSTN	NM_015331
NHLH1	NM_005598
VANGL2	NM_020335
SLAMF6	NM_052931
CD84	NM_001184879
SLAMF1	NM_003037
CD48	NM_001778
SLAMF7	NM_021181
LY9	NM_002348
CD244	NM_001166663
ITLN1	NM_017625
ITLN2	NM_080878
F11R	NM_016946
USF1	NM_007122
ARHGAP30	NM_001025598
PVRL4	NM_030916
KLHDC9	NM_152366
PFDN2	NM_012394
NIT1	NM_005600
DEDD	NM_001039712
UFC1	NM_016406
USP21	NM_012475
PPOX	NM_000309
B4GALT3	NM_001199874
ADAMTS4	NM_005099
NDUFS2	NM_001166159
FCER1G	NM_004106
APOA2	NM_001643
TOMM40L	NM_032174
NR1I3	NM_005122
PCP4L1	NM_001102566
MPZ	NM_000530
SDHC	NM_003001
C1orf192	NM_001013625
FCGR2A	NM_001136219
HSPA6	NM_002155
FCGR3A	NM_000569
FCGR2C	NM_201563
FCGR3B	NM_001244753
FCGR2B	NM_004001
FCRLA	NM_001184866
FCRLB	NM_001002901
DUSP12	NM_007240
ATF6	NM_007348
OLFML2B	NM_015441
NOS1AP	NM_014697
C1orf111	NM_182581
C1orf226	NM_001135240
SH2D1B	NM_053282
UHMK1	NM_175866
UAP1	NM_003115
DDR2	NM_006182
HSD17B7	NM_016371
C1orf110	NM_178550
RGS4	NM_001102445
RGS5	NM_003617
NUF2	NM_031423
PBX1	NM_002585
LMX1A	NM_001174069
RXRG	NM_006917
LRRC52	NM_001005214
MGST3	NM_004528
ALDH9A1	NM_000696
TMCO1	NM_019026
UCK2	NM_012474
FAM78B	NM_001017961
POGK	NM_017542
TADA1	NM_053053
ILDR2	NM_199351
MAEL	NM_032858
GPA33	NM_005814
DUSP27	NM_001080426
POU2F1	NM_002697
CD247	NM_198053
CREG1	NM_003851
RCSD1	NM_052862
MPZL1	NM_003953
ADCY10	NM_018417
DCAF6	NM_001198956
GPR161	NM_153832
TIPRL	NM_152902
SFT2D2	NM_199344
TBX19	NM_005149
XCL2	NM_003175
XCL1	NM_002995
DPT	NM_001937
ATP1B1	NM_001677
NME7	NM_013330
BLZF1	NM_003666
C1orf114	NM_021179
SLC19A2	NM_006996
F5	NM_000130
SELP	NM_003005
SELL	NM_000655
SELE	NM_000450
METTL18	NM_033418
C1orf112	NM_018186
SCYL3	NM_181093
KIFAP3	NM_014970
METTL11B	NM_001136107
GORAB	NM_152281
PRRX1	NM_022716
C1orf129	NM_001163629
FMO3	NM_006894
FMO2	NM_001460
FMO1	NM_002021
FMO4	NM_002022
PRRC2C	NM_015172
MYOC	NM_000261
VAMP4	NM_003762
METTL13	NM_015935
DNM3	NM_015569
C1orf105	NM_139240
PIGC	NM_153747
FASLG	NM_000639
TNFSF18	NM_005092
TNFSF4	NM_003326
PRDX6	NM_004905
ANKRD45	NM_198493
LOC730159	NM_001195190
KLHL20	NM_014458
CENPL	NM_001171182
DARS2	NM_018122
ZBTB37	NM_001122770
SERPINC1	NM_000488
RC3H1	NM_172071
RABGAP1L	NM_014857
GPR52	NM_005684
CACYBP	NM_014412
MRPS14	NM_022100
TNN	NM_022093
KIAA0040	NM_001162895
TNR	NM_003285
RFWD2	NM_022457
PAPPA2	NM_020318
ASTN1	NM_004319
FAM5B	NM_021165
SEC16B	NM_033127
RASAL2	NM_170692
RALGPS2	NM_152663
ANGPTL1	NM_004673
FAM20B	NM_014864
TOR3A	NM_022371
ABL2	NM_005158
SOAT1	NM_003101
AXDND1	NM_144696
NPHS2	NM_014625
TDRD5	NM_001199085
FAM163A	NM_173509
TOR1AIP2	NM_022347
TOR1AIP1	NM_015602
CEP350	NM_014810
QSOX1	NM_002826
LHX4	NM_033343
ACBD6	NM_032360
XPR1	NM_004736
KIAA1614	NM_020950
STX6	NM_005819
MR1	NM_001531
IER5	NM_016545
CACNA1E	NM_001205293
ZNF648	NM_001009992
GLUL	NM_001033056
TEDDM1	NM_172000
RGSL1	NM_001137669
RNASEL	NM_021133
RGS16	NM_002928
RGS8	NM_033345
NPL	NM_030769
DHX9	NM_001357
SHCBP1L	NM_030933
LAMC1	NM_002293
LAMC2	NM_005562
NMNAT2	NM_015039
SMG7	NM_201569
NCF2	NM_001127651
ARPC5	NM_005717
RGL1	NM_015149
APOBEC4	NM_203454
GLT25D2	NM_015101
TSEN15	NM_052965
C1orf21	NM_030806
EDEM3	NM_025191
FAM129A	NM_052966
RNF2	NM_007212
TRMT1L	NM_030934
SWT1	NM_001105518
IVNS1ABP	NM_006469
HMCN1	NM_031935
PRG4	NM_005807
TPR	NM_003292
C1orf27	NM_017847
OCLM	NM_022375
PDC	NM_002597
PTGS2	NM_000963
PLA2G4A	NM_024420
FAM5C	NM_199051
RGS18	NM_130782
RGS21	NM_001039152
RGS1	NM_002922
RGS13	NM_144766
RGS2	NM_002923
UCHL5	NM_015984
TROVE2	NM_001173524
GLRX2	NM_197962
CDC73	NM_024529
B3GALT2	NM_003783
KCNT2	NM_198503
CFH	NM_000186
CFHR1	NM_002113
CFHR2	NM_005666
CFHR5	NM_030787
F13B	NM_001994
ASPM	NM_018136
ZBTB41	NM_194314
CRB1	NM_201253
DENND1B	NM_001195215
C1orf53	NM_001024594
LHX9	NM_020204
NEK7	NM_133494
ATP6V1G3	NM_133262
PTPRC	NM_002838
NR5A2	NM_205860
FAM58BP	NM_001105517
ZNF281	NM_012482
KIF14	NM_014875
DDX59	NM_001031725
CAMSAP2	NM_203459
GPR25	NM_005298
C1orf106	NM_018265
KIF21B	NM_001252100
CACNA1S	NM_000069
TMEM9	NM_016456
IGFN1	NM_001164586
PKP1	NM_001005337
TNNT2	NM_000364
LAD1	NM_005558
TNNI1	NM_003281
PHLDA3	NM_012396
CSRP1	NM_001193571
NAV1	NM_020443
IPO9	NM_018085
SHISA4	NM_198149
LMOD1	NM_012134
TIMM17A	NM_006335
RNPEP	NM_020216
ELF3	NM_004433
GPR37L1	NM_004767
ARL8A	NM_138795
PTPN7	NM_001199797
LGR6	NM_001017403
UBE2T	NM_014176
PPP1R12B	NM_002481
SYT2	NM_177402
KDM5B	NM_006618
RABIF	NM_002871
KLHL12	NM_021633
ADIPOR1	NM_015999
CYB5R1	NM_016243
TMEM183B	NM_001079809
MYOG	NM_002479
ADORA1	NM_001048230
MYBPH	NM_004997
CHI3L1	NM_001276
CHIT1	NM_003465
BTG2	NM_006763
FMOD	NM_002023
PRELP	NM_201348
OPTC	NM_014359
ATP2B4	NM_001684
LAX1	NM_017773
ZC3H11A	NM_014827
ZBED6	NM_001174108
SNRPE	NM_003094
SOX13	NM_005686
ETNK2	NM_018208
REN	NM_000537
KISS1	NM_002256
GOLT1A	NM_198447
PLEKHA6	NM_014935
PPP1R15B	NM_032833
PIK3C2B	NM_002646
MDM4	NM_002393
LRRN2	NM_201630
NFASC	NM_001005388
CNTN2	NM_005076
TMEM81	NM_203376
RBBP5	NM_005057
DSTYK	NM_015375
TMCC2	NM_014858
NUAK2	NM_030952
KLHDC8A	NM_018203
LEMD1	NM_001199050
CDK18	NM_212502
MFSD4	NM_181644
SLC45A3	NM_033102
NUCKS1	NM_022731
RAB7L1	NM_001135662
SLC41A1	NM_173854
PM20D1	NM_152491
SLC26A9	NM_134325
FAM72A	NM_001123168
AVPR1B	NM_000707
C1orf186	NM_001007544
CTSE	NM_001910
SRGAP2	NM_015326
IKBKE	NM_014002
RASSF5	NM_182663
EIF2D	NM_006893
DYRK3	NM_003582
MAPKAPK2	NM_032960
IL10	NM_000572
IL19	NM_153758
IL20	NM_018724
IL24	NM_001185156
FAIM3	NM_005449
PIGR	NM_002644
FCAMR	NM_001170631
C1orf116	NM_023938
YOD1	NM_018566
PFKFB2	NM_006212
C4BPB	NM_001017365
C4BPA	NM_000715
CD55	NM_001114752
CR2	NM_001877
CR1	NM_000651
CR1L	NM_175710
CD46	NM_172359
CD34	NM_001025109
PLXNA2	NM_025179
MIR205HG	NM_001104548
CAMK1G	NM_020439
LAMB3	NM_000228
G0S2	NM_015714
HSD11B1	NM_005525
TRAF3IP3	NM_025228
C1orf74	NM_152485
IRF6	NM_006147
DIEXF	NM_014388
SYT14	NM_001146261
SERTAD4	NM_019605
HHAT	NM_001122834
KCNH1	NM_172362
RCOR3	NM_001136223
TRAF5	NM_001033910
RD3	NM_001164688
SLC30A1	NM_021194
NEK2	NM_002497
LPGAT1	NM_014873
INTS7	NM_015434
DTL	NM_016448
PPP2R5A	NM_006243
TMEM206	NM_001198862
NENF	NM_013349
ATF3	NM_001206484
FAM71A	NM_153606
BATF3	NM_018664
NSL1	NM_015471
TATDN3	NM_001042552
C1orf227	NM_001024601
FLVCR1	NM_014053
VASH2	NM_024749
ANGEL2	NM_144567
RPS6KC1	NM_012424
PROX1	NM_002763
SMYD2	NM_020197
PTPN14	NM_005401
CENPF	NM_016343
KCNK2	NM_014217
KCTD3	NM_016121
USH2A	NM_206933
ESRRG	NM_001438
GPATCH2	NM_018040
SPATA17	NM_138796
RRP15	NM_016052
TGFB2	NM_001135599
LYPLAL1	NM_138794
SLC30A10	NM_018713
EPRS	NM_004446
BPNT1	NM_006085
IARS2	NM_018060
RAB3GAP2	NM_012414
MARK1	NM_018650
C1orf115	NM_024709
MARC2	NM_017898
MARC1	NM_022746
HLX	NM_021958
DUSP10	NM_007207
HHIPL2	NM_024746
TAF1A	NM_001201536
MIA3	NM_198551
AIDA	NM_022831
BROX	NM_144695
FAM177B	NM_207468
DISP1	NM_032890
TLR5	NM_003268
SUSD4	NM_017982
C1orf65	NM_152610
CAPN8	NM_001143962
CAPN2	NM_001748
TP53BP2	NM_001031685
FBXO28	NM_015176
DEGS1	NM_003676
NVL	NM_002533
CNIH4	NM_014184
WDR26	NM_025160
CNIH3	NM_152495
DNAH14	NM_001373
LBR	NM_002296
ENAH	NM_001008493
SRP9	NM_003133
EPHX1	NM_001136018
TMEM63A	NM_014698
LEFTY1	NM_020997
PYCR2	NM_013328
LEFTY2	NM_003240
ACBD3	NM_022735
MIXL1	NM_031944
LIN9	NM_173083
PARP1	NM_001618
C1orf95	NM_001003665
ITPKB	NM_002221
PSEN2	NM_000447
ADCK3	NM_020247
CDC42BPA	NM_003607
ZNF678	NM_178549
JMJD4	NM_023007
SNAP47	NM_053052
PRSS38	NM_183062
WNT9A	NM_003395
WNT3A	NM_033131
ARF1	NM_001024226
C1orf35	NM_024319
MRPL55	NM_181462
GUK1	NM_001242840
GJC2	NM_020435
IBA57	NM_001010867
OBSCN	NM_001098623
TRIM11	NM_145214
TRIM17	NM_001024940
HIST3H3	NM_003493
HIST3H2A	NM_033445
HIST3H2BB	NM_175055
RNF187	NM_001010858
RHOU	NM_021205
RAB4A	NM_004578
SPHAR	NM_006542
ACTA1	NM_001100
NUP133	NM_018230
ABCB10	NM_012089
TAF5L	NM_014409
URB2	NM_014777
GALNT2	NM_004481
COG2	NM_007357
AGT	NM_000029
CAPN9	NM_006615
C1orf198	NM_032800
TTC13	NM_024525
ARV1	NM_022786
FAM89A	NM_198552
TRIM67	NM_001004342
C1orf131	NM_152379
GNPAT	NM_014236
EXOC8	NM_175876
EGLN1	NM_022051
TSNAX	NM_005999
DISC1	NM_001164537
SIPA1L2	NM_020808
KIAA1383	NM_019090
NTPCR	NM_032324
PCNXL2	NM_014801
KIAA1804	NM_032435
KCNK1	NM_002245
SLC35F3	NM_173508
TARBP1	NM_005646
IRF2BP2	NM_001077397
TOMM20	NM_014765
RBM34	NM_015014
ARID4B	NM_016374
GGPS1	NM_001037277
TBCE	NM_001079515
B3GALNT2	NM_152490
GNG4	NM_004485
LYST	NM_000081
NID1	NM_002508
GPR137B	NM_003272
ERO1LB	NM_019891
EDARADD	NM_145861
LGALS8	NM_006499
HEATR1	NM_018072
ACTN2	NM_001103
MTR	NM_000254
RYR2	NM_001035
ZP4	NM_021186
CHRM3	NM_000740
FMN2	NM_020066
GREM2	NM_022469
RGS7	NM_002924
FH	NM_000143
KMO	NM_003679
OPN3	NM_014322
CHML	NM_001821
WDR64	NM_144625
EXO1	NM_130398
MAP1LC3C	NM_001004343
PLD5	NM_152666
CEP170	NM_014812
SDCCAG8	NM_006642
AKT3	NM_005465
ZNF238	NM_205768
C1orf100	NM_001012970
ADSS	NM_001126
C1orf101	NM_001130957
HNRNPU	NM_004501
EFCAB2	NM_032328
KIF26B	NM_018012
SMYD3	NM_001167740
TFB2M	NM_022366
CNST	NM_152609
SCCPDH	NM_016002
AHCTF1	NM_015446
ZNF695	NM_020394
ZNF670	NM_033213
ZNF669	NM_024804
C1orf229	NM_207401
ZNF124	NM_003431
VN1R5	NM_173858
ZNF496	NM_032752
NLRP3	NM_001079821
OR2B11	NM_001004492
OR2W5	NM_001004698
OR2C3	NM_198074
OR2G2	NM_001001915
OR2G3	NM_001001914
OR13G1	NM_001005487
OR6F1	NM_001005286
OR1C1	NM_012353
OR14A16	NM_001001966
OR11L1	NM_001001959
TRIM58	NM_015431
OR2W3	NM_001001957
OR2T8	NM_001005522
OR2L13	NM_175911
OR2L8	NM_001001963
OR2AK2	NM_001004491
OR2L2	NM_001004686
OR2L3	NM_001004687
OR2M5	NM_001004690
OR2M2	NM_001004688
OR2M3	NM_001004689
OR2M4	NM_017504
OR2T33	NM_001004695
OR2T12	NM_001004692
OR2M7	NM_001004691
OR14C36	NM_001001918
OR2T4	NM_001004696
OR2T6	NM_001005471
OR2T1	NM_030904
OR2T2	NM_001004136
OR2T3	NM_001005495
OR2T5	NM_001004697
OR2G6	NM_001013355
OR2T29	NM_001004694
OR2T34	NM_001001821
OR2T10	NM_001004693
OR2T11	NM_001001964
OR2T35	NM_001001827
OR2T27	NM_001001824
OR14I1	NM_001004734
SH3BP5L	NM_030645
ZNF672	NM_024836
ZNF692	NM_017865
PGBD2	NM_170725
FAM110C	NM_001077710
SH3YL1	NM_015677
ACP1	NM_004300
FAM150B	NM_001002919
TMEM18	NM_152834
SNTG2	NM_018968
TPO	NM_000547
PXDN	NM_012293
MYT1L	NM_015025
TSSC1	NM_003310
TRAPPC12	NM_016030
ADI1	NM_018269
RNASEH1	NM_002936
RPS7	NM_001011
COLEC11	NM_024027
ALLC	NM_018436
SOX11	NM_003108
CMPK2	NM_207315
RSAD2	NM_080657
RNF144A	NM_014746
ID2	NM_002166
KIDINS220	NM_020738
MBOAT2	NM_138799
ASAP2	NM_003887
ITGB1BP1	NM_004763
CPSF3	NM_016207
IAH1	NM_001039613
ADAM17	NM_003183
YWHAQ	NM_006826
TAF1B	NM_005680
GRHL1	NM_198182
KLF11	NM_003597
CYS1	NM_001037160
RRM2	NM_001034
C2orf48	NM_182626
HPCAL1	NM_002149
ODC1	NM_002539
NOL10	NM_024894
ATP6V1C2	NM_001039362
PDIA6	NM_005742
KCNF1	NM_002236
C2orf50	NM_182500
PQLC3	NM_152391
ROCK2	NM_004850
E2F6	NM_198256
GREB1	NM_014668
NTSR2	NM_012344
LPIN1	NM_145693
TRIB2	NM_021643
FAM84A	NM_145175
NBAS	NM_015909
DDX1	NM_004939
MYCN	NM_005378
FAM49A	NM_030797
RAD51AP2	NM_001099218
VSNL1	NM_003385
SMC6	NM_024624
GEN1	NM_182625
MSGN1	NM_001105569
KCNS3	NM_002252
NT5C1B-RDH14	NM_001199103
OSR1	NM_145260
TTC32	NM_001008237
WDR35	NM_001006657
MATN3	NM_002381
LAPTM4A	NM_014713
SDC1	NM_002997
PUM2	NM_015317
RHOB	NM_004040
HS1BP3	NM_022460
GDF7	NM_182828
C2orf43	NM_021925
APOB	NM_000384
KLHL29	NM_052920
ATAD2B	NM_017552
UBXN2A	NM_181713
MFSD2B	NM_001080473
C2orf44	NM_025203
FKBP1B	NM_004116
SF3B14	NM_016047
TP53I3	NM_004881
PFN4	NM_199346
ITSN2	NM_006277
NCOA1	NM_003743
PTRHD1	NM_001013663
CENPO	NM_024322
ADCY3	NM_004036
DNAJC27	NM_016544
EFR3B	NM_014971
POMC	NM_000939
DNMT3A	NM_022552
DTNB	NM_021907
ASXL2	NM_018263
KIF3C	NM_002254
RAB10	NM_016131
FAM59B	NM_001168241
HADHA	NM_000182
HADHB	NM_000183
GPR113	NM_001145168
EPT1	NM_033505
CCDC164	NM_145038
OTOF	NM_194248
C2orf70	NM_001105519
CIB4	NM_001029881
KCNK3	NM_002246
C2orf18	NM_017877
CENPA	NM_001809
DPYSL5	NM_020134
MAPRE3	NM_012326
TMEM214	NM_017727
AGBL5	NM_021831
OST4	NM_001134693
EMILIN1	NM_007046
KHK	NM_006488
CGREF1	NM_001166239
ABHD1	NM_032604
PREB	NM_013388
C2orf53	NM_178553
TCF23	NM_175769
SLC5A6	NM_021095
CAD	NM_004341
SLC30A3	NM_003459
DNAJC5G	NM_173650
TRIM54	NM_032546
UCN	NM_003353
MPV17	NM_002437
GTF3C2	NM_001035521
EIF2B4	NM_172195
SNX17	NM_014748
ZNF513	NM_144631
PPM1G	NM_177983
NRBP1	NM_013392
KRTCAP3	NM_173853
IFT172	NM_015662
FNDC4	NM_022823
GCKR	NM_001486
C2orf16	NM_032266
ZNF512	NM_032434
CCDC121	NM_001142683
GPN1	NM_007266
SUPT7L	NM_014860
SLC4A1AP	NM_018158
MRPL33	NM_004891
RBKS	NM_022128
BRE	NM_004899
FOSL2	NM_005253
PLB1	NM_153021
PPP1CB	NM_206876
SPDYA	NM_001142634
TRMT61B	NM_017910
WDR43	NM_015131
FAM179A	NM_199280
C2orf71	NM_001029883
CLIP4	NM_024692
ALK	NM_004304
YPEL5	NM_016061
LBH	NM_030915
LCLAT1	NM_001002257
CAPN13	NM_144575
GALNT14	NM_024572
CAPN14	NM_001145122
EHD3	NM_014600
XDH	NM_000379
SRD5A2	NM_000348
MEMO1	NM_015955
DPY30	NM_032574
SPAST	NM_014946
SLC30A6	NM_001193513
NLRC4	NM_001199139
YIPF4	NM_032312
BIRC6	NM_016252
TTC27	NM_017735
LTBP1	NM_206943
RASGRP3	NM_015376
FAM98A	NM_015475
CRIM1	NM_016441
FEZ2	NM_001042548
VIT	NM_001177971
STRN	NM_003162
HEATR5B	NM_019024
CCDC75	NM_174931
EIF2AK2	NM_001135651
SULT6B1	NM_001032377
CEBPZ	NM_005760
PRKD3	NM_005813
QPCT	NM_012413
CDC42EP3	NM_006449
FAM82A1	NM_144713
CYP1B1	NM_000104
ATL2	NM_001135673
HNRPLL	NM_138394
GALM	NM_138801
SRSF7	NM_001031684
GEMIN6	NM_024775
DHX57	NM_198963
MORN2	NM_001145450
ARHGEF33	NM_001145451
SOS1	NM_005633
CDKL4	NM_001009565
MAP4K3	NM_003618
THUMPD2	NM_025264
SLC8A1	NM_021097
PKDCC	NM_138370
EML4	NM_019063
COX7A2L	NM_004718
KCNG3	NM_133329
MTA3	NM_020744
OXER1	NM_148962
HAAO	NM_012205
ZFP36L2	NM_006887
THADA	NM_022065
PLEKHH2	NM_172069
LOC728819	NM_001101330
DYNC2LI1	NM_001193464
ABCG5	NM_022436
ABCG8	NM_022437
LRPPRC	NM_133259
PPM1B	NM_002706
SLC3A1	NM_000341
PREPL	NM_001171603
CAMKMT	NM_024766
SIX3	NM_005413
SIX2	NM_016932
SRBD1	NM_018079
PRKCE	NM_005400
EPAS1	NM_001430
ATP6V1E2	NM_080653
RHOQ	NM_012249
PIGF	NM_002643
CRIPT	NM_014171
SOCS5	NM_014011
MCFD2	NM_001171507
TTC7A	NM_020458
C2orf61	NM_001163561
CALM2	NM_001743
EPCAM	NM_002354
MSH2	NM_000251
KCNK12	NM_022055
MSH6	NM_000179
FBXO11	NM_001190274
FOXN2	NM_002158
PPP1R21	NM_152994
STON1-GTF2A1L	NM_001198594
LHCGR	NM_000233
FSHR	NM_000145
NRXN1	NM_004801
GPR75-ASB3	NM_001164165
CHAC2	NM_001008708
ERLEC1	NM_015701
GPR75	NM_006794
PSME4	NM_014614
ACYP2	NM_138448
TSPYL6	NM_001003937
C2orf73	NM_001100396
SPTBN1	NM_003128
EML6	NM_001039753
RTN4	NM_020532
RPS27A	NM_001135592
MTIF2	NM_002453
CCDC88A	NM_001135597
CCDC104	NM_080667
SMEK2	NM_020463
PNPT1	NM_033109
EFEMP1	NM_001039348
CCDC85A	NM_001080433
VRK2	NM_001130480
FANCL	NM_018062
BCL11A	NM_022893
PAPOLG	NM_022894
REL	NM_002908
PUS10	NM_144709
PEX13	NM_002618
KIAA1841	NM_001129993
C2orf74	NM_001143959
AHSA2	NM_152392
USP34	NM_014709
XPO1	NM_003400
FAM161A	NM_001201543
CCT4	NM_006430
COMMD1	NM_152516
B3GNT2	NM_006577
TMEM17	NM_198276
EHBP1	NM_015252
OTX1	NM_014562
WDPCP	NM_015910
MDH1	NM_001199111
UGP2	NM_006759
VPS54	NM_016516
PELI1	NM_020651
LGALSL	NM_014181
AFTPH	NM_203437
SERTAD2	NM_014755
SLC1A4	NM_003038
CEP68	NM_015147
RAB1A	NM_004161
ACTR2	NM_001005386
SPRED2	NM_181784
MEIS1	NM_002398
ETAA1	NM_019002
C1D	NM_006333
WDR92	NM_138458
PNO1	NM_020143
PPP3R1	NM_000945
CNRIP1	NM_015463
PLEK	NM_002664
FBXO48	NM_001024680
APLF	NM_173545
PROKR1	NM_138964
ARHGAP25	NM_001007231
BMP10	NM_014482
GKN2	NM_182536
GKN1	NM_019617
ANTXR1	NM_032208
GFPT1	NM_001244710
NFU1	NM_001002755
AAK1	NM_014911
ANXA4	NM_001153
GMCL1	NM_178439
SNRNP27	NM_006857
MXD1	NM_002357
ASPRV1	NM_152792
PCBP1	NM_006196
C2orf42	NM_017880
TIA1	NM_022173
PCYOX1	NM_016297
SNRPG	NM_003096
FAM136A	NM_032822
TGFA	NM_003236
ADD2	NM_001185054
FIGLA	NM_001004311
CLEC4F	NM_173535
CD207	NM_015717
VAX2	NM_012476
ATP6V1B1	NM_001692
ANKRD53	NM_001115116
TEX261	NM_144582
NAGK	NM_017567
MCEE	NM_032601
MPHOSPH10	NM_005791
PAIP2B	NM_020459
ZNF638	NM_001014972
DYSF	NM_001130987
CYP26B1	NM_019885
EXOC6B	NM_015189
SPR	NM_003124
EMX1	NM_004097
SFXN5	NM_144579
RAB11FIP5	NM_015470
NOTO	NM_001134462
SMYD5	NM_006062
PRADC1	NM_032319
CCT7	NM_006429
FBXO41	NM_001080410
EGR4	NM_001965
ALMS1	NM_015120
NAT8	NM_003960
NAT8B	NM_016347
TPRKB	NM_016058
DUSP11	NM_003584
C2orf78	NM_001080474
STAMBP	NM_201647
ACTG2	NM_001615
DGUOK	NM_080916
TET3	NM_144993
BOLA3	NM_212552
MOB1A	NM_018221
MTHFD2	NM_006636
SLC4A5	NM_021196
DCTN1	NM_004082
C2orf81	NM_001145054
WDR54	NM_032118
RTKN	NM_001015055
INO80B	NM_031288
WBP1	NM_012477
MOGS	NM_006302
MRPL53	NM_053050
CCDC142	NM_032779
TTC31	NM_022492
LBX2	NM_001009812
PCGF1	NM_032673
TLX2	NM_016170
DQX1	NM_133637
AUP1	NM_181575
HTRA2	NM_013247
LOXL3	NM_032603
DOK1	NM_001381
C2orf65	NM_138804
SEMA4F	NM_004263
HK2	NM_000189
POLE4	NM_019896
TACR1	NM_001058
MRPL19	NM_014763
GCFC2	NM_003203
LRRTM4	NM_001134745
